UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Neoliberal,@ne0liberal,2022-04-13T22:20:14.000Z,"Neoliberal
@ne0liberal
·
Apr 13, 2022","If Elon Musk actually wanted to improve Twitter, he’d buy Tumblr and pay everyone who left to go back there
12
79
739",🌐,12,79,739,[],https://twitter.com/ne0liberal/status/1514367885254266883
Forbes,@Forbes,2022-04-13T22:48:03.000Z,"Forbes
@Forbes
·
Apr 13, 2022","Twitter shareholder sues Elon Musk https://trib.al/GBIAW3v
20
56
157",,20,56,157,['https://pbs.twimg.com/media/FQQj7w9XEAMi61j?format=jpg&name=small'],https://twitter.com/Forbes/status/1514374886013214727
Joe- Blue Sky MAGA,@joe172726,2022-04-13T22:18:13.000Z,"Joe- Blue Sky MAGA
@joe172726
·
Apr 13, 2022","Love this. EM has between 275-300 $Billion, he could buy this in a heartbeat. Rock the World. 
Snowflake Alert: Twitter Employees Say the Place Was a Total 'S**t Show' When Elon Rejected Board Seat
townhall.com
Snowflake Alert: Twitter Employees Say the Place Was a Total 'S**t Show' When Elon Rejected Board...
 8
107
143",🤣 😂 🤣,8,107,143,['https://pbs.twimg.com/card_img/1619366181240016900/rnETFd4M?format=jpg&name=small'],https://twitter.com/joe172726/status/1514367378083119105
Freb,@Grand_handsomer,2022-04-13T22:52:11.000Z,"Freb
@Grand_handsomer
·
Apr 13, 2022","Elon has reintroduced the wolf back to twitter and now they roam the land restoring the natural order just as they did when they returned to Yellowstone
From 
Eden Blue Gold
4
13
47",,4,13,47,['https://pbs.twimg.com/ext_tw_video_thumb/924970517781610498/pu/img/cNY0tQCtTaA9PqO5.jpg'],https://twitter.com/Grand_handsomer/status/1514375928608182273
Rebel News,@RebelNewsOnline,2022-04-13T20:51:15.000Z,"Rebel News
@RebelNewsOnline
·
Apr 13, 2022","As Elon Musk remains poised to perform a hostile takeover of Twitter, company employees have expressed anxiety over the changes to come.
rebelnews.com
Twitter employees 'super stressed' by Elon Musk's move to overhaul the company — Report - Rebel News
The fearless source of news, opinion, and activism that you won't find anywhere else.
19
28
99",,19,28,99,['https://pbs.twimg.com/card_img/1621160937821507585/Zoq0Suel?format=jpg&name=small'],https://twitter.com/RebelNewsOnline/status/1514345495153496081
XRPcryptowolf,@XRPcryptowolf,2022-04-13T20:42:16.000Z,"XRPcryptowolf
@XRPcryptowolf
·
Apr 13, 2022","Replying to 
@CGasparino
 @EleanorTerrett
 and 4 others
Elon Musk joining forces with the #XRP Army and #Ripple would make us unstoppable
19
20
211",,19,20,211,[],https://twitter.com/XRPcryptowolf/status/1514343234117459969
NEUROMASTER,@NEUROMASTER9,2022-04-13T20:16:56.000Z,"NEUROMASTER
@NEUROMASTER9
·
Apr 13, 2022","Dear Master #Asberger Big Bag Holder

#ElonMusk not joining the board of directors of #twitter 

You can only buy 15% as a board member. 
@elonmusk
 

@Twitter
 
@NEUROMASTER9
 Updates #NEUROMASTER

Everyone looking after you #Elon We are watching $SOL $BNB $WAVES $VIRES $ETH $NXR
GIF
ALT
1
2",,1,,2,['https://pbs.twimg.com/tweet_video_thumb/FQQBVw0aIAMhWuB.jpg'],https://twitter.com/NEUROMASTER9/status/1514336856506519552
Shawn Car,@shawncarelli,2022-04-13T19:30:42.000Z,"Shawn Car
@shawncarelli
·
Apr 13, 2022","Does Elon Musk work here?
@elonmusk
 @Twitter
1",◼ ◼ ◼ ◼ ◼ ◼ ◼,,,1,[],https://twitter.com/shawncarelli/status/1514325220793925641
Lady Eileen Brent,@erkstagwitch,2022-04-13T20:11:41.000Z,"Lady Eileen Brent
@erkstagwitch
·
Apr 13, 2022","Replying to 
@DovForman
 @AuschwitzMuseum
 and 9 others
My great-grandfather was one of the perpetrators. Be sure I'll buy your great-grandmother's book tomorrow. Her legacy will never be forgotten. I hope Lily will have the most wonderful birthday tomorrow!
1
3
52",🌼,1,3,52,[],https://twitter.com/erkstagwitch/status/1514335535480905734
DandyTiger®,@DandyTigerOfVA,2022-04-13T20:07:07.000Z,"DandyTiger®
@DandyTigerOfVA
·
Apr 13, 2022",".
@elonmusk
 is being sued by 
@Twitter
 shareholders. I call that a big win for Elon and anyone for the defacto public square and free speech. Keep scaring the authoritarian woke. #ElonMusk #censorship #twittercensorship
1
2",,,1,2,[],https://twitter.com/DandyTigerOfVA/status/1514334387089084418
